,Unnamed: 0,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Season,Alive
1088,1088,8,1,4,0.061,1,2017,3,0,2,1,1,23.28,21.36,0.29,5.16,6.68,33,115.5,0.0,0,2,1
1089,1089,14,4,3,0.059,1,2017,6,0,2,2,1,8.0,8.99,2.54,27.74,10.08,7,24.5,0.0,1,1,0
1090,1090,14,4,3,0.059,1,2016,4,0,2,2,2,17.0,42.86,2.73,27.95,10.93,7,24.5,0.0,1,1,0
1091,1091,8,3,3,0.061,1,2017,3,0,2,2,1,15.92,21.82,2.93,26.45,12.7,33,115.5,0.0,0,1,1
1092,1092,14,4,3,0.059,1,2016,4,0,2,2,2,13.0,40.74,3.97,22.33,17.21,7,24.5,0.0,1,1,0
1093,1093,14,2,3,0.074,1,2017,5,1,1,2,3,14.0,0.0,2.84,25.11,11.76,7,24.5,0.0,1,1,0
1094,1094,14,2,4,0.074,1,2017,2,0,2,1,2,33.68,25.0,0.68,7.84,11.45,7,24.5,1.0,0,2,0
1095,1095,14,4,4,0.059,1,2016,7,0,2,1,2,24.63,50.0,0.58,4.81,7.29,7,24.5,1.0,0,2,0
1096,1096,14,4,3,0.059,1,2017,3,0,2,2,1,12.0,75.0,3.57,29.0,14.17,7,24.5,0.0,1,1,0
1097,1097,14,2,1,0.074,1,2016,5,1,1,1,3,10.0,65.44666666666667,-0.01,11.4,11.96,7,24.5,0.0,1,1,0
1098,1098,8,1,4,0.061,1,2017,5,1,1,1,3,13.52,55.89333333333333,0.37,5.48,9.21,33,115.5,0.0,0,2,1
1099,1099,14,4,2,0.059,1,2017,2,0,2,2,2,5.0,46.34,4.91,24.03,16.2,7,24.5,0.0,1,1,0
1100,1100,15,1,2,0.087,2,2017,6,0,2,2,1,18.0,10.53,4.95,18.47,21.86,7,24.5,0.0,1,1,0
1101,1101,8,1,2,0.061,1,2017,1,0,2,2,1,18.67,28.69,3.7,18.98,20.78,33,115.5,0.0,0,1,1
1102,1102,8,3,4,0.061,1,2017,5,1,1,1,3,13.52,27.92,0.37,5.48,9.21,18,63.0,1.0,0,2,0
1103,1103,8,3,2,0.061,1,2017,2,0,2,2,2,17.91,27.15,4.73,24.52,15.8,33,115.5,0.0,0,1,1
1104,1104,15,1,1,0.087,2,2016,6,0,3,1,1,19.8,31.525,0.48,14.09,12.53,7,24.5,1.0,0,2,0
1105,1105,15,3,2,0.103,2,2016,4,0,2,2,2,19.0,35.9,4.97,20.03,19.61,7,24.5,0.0,1,1,0
1106,1106,15,3,3,0.103,2,2017,1,0,2,2,1,6.0,45.45,3.48,19.53,21.23,7,24.5,0.0,1,1,0
1107,1107,8,3,2,0.061,1,2017,7,0,3,2,2,23.88,43.9,4.65,19.11,22.34,33,115.5,0.0,0,1,1
1108,1108,15,3,3,0.103,2,2017,2,0,3,2,2,9.0,50.0,3.87,23.33,17.17,7,24.5,0.0,1,1,0
1109,1109,8,3,2,0.061,1,2017,1,0,2,2,1,18.67,28.69,3.7,18.98,20.78,19,66.5,1.0,0,1,0
1110,1110,15,1,2,0.087,2,2017,5,1,1,2,3,1.0,0.0,3.66,24.02,15.31,7,24.5,0.0,1,1,0
